year,type,url
2005,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2005%2FIntegratedData-DonneesPonctuelles%2F2005PAH.zip
2006,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2006%2FIntegratedData-DonneesPonctuelles%2F2006PAH.zip
2007,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2007%2FIntegratedData-DonneesPonctuelles%2F2007PAH.zip
2008,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2008%2FIntegratedData-DonneesPonctuelles%2F2008PAH.zip
2009,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2monitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2009%2FIntegratedData-DonneesPonctuelles%2F2009PAH.zip
2010,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2010%2FIntegratedData-DonneesPonctuelles%2F2010_PAH.zip
2011,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2011%2FIntegratedData-DonneesPonctuelles%2F2011_PAH.zip
2012,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2012%2FIntegratedData-DonneesPonctuelles%2F2012_PAH.zip
2013,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2013%2FIntegratedData-DonneesPonctuelles%2F2013_PAH.zip
2014,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2014%2FIntegratedData-DonneesPonctuelles%2F2014_PAH.zip
2015,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2015%2FIntegratedData-DonneesPonctuelles%2F2015_PAH.zip
2016,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2016%2FIntegratedData-DonneesPonctuelles%2F2016_PAH-HAP.zip
2017,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2017%2FIntegratedData-DonneesPonctuelles%2F2017_PAH-HAP.zip
2018,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2018%2FIntegratedData-DonneesPonctuelles%2F2018_PAH-HAP.zip
2019,integrated_pah,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2019%2FIntegratedData-DonneesPonctuelles%2F2019_PAH-HAP.zip
2003,integrated_voc,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2003%2FIntegratedData-DonneesPonctuelles%2F2003VOC.zip
2004,integrated_voc,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2004%2FIntegratedData-DonneesPonctuelles%2F2004VOC.zip
